race,group,nodesize,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
white,1,70.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
asian,2,170.14,,
mixed,5,217.36,,
mixed,5,217.36,,
mixed,5,217.36,,
mixed,5,217.36,,
latinx,3,317.36,,
latinx,3,317.36,,
latinx,3,317.36,,
black,4,417.36,,
black,4,417.36,,
native,6,517.36,,
